x1,y1,size1,figure1,x2,y2,size2,figure2,collision
-2,-5,66,circle,2,0,90,rectangle,True
2,-4,12,circle,-3,2,46,rectangle,False
3,1,87,rectangle,4,3,16,rectangle,True
-3,-6,51,rectangle,5,4,52,circle,False
-4,-3,52,rectangle,0,3,60,circle,False
0,5,71,rectangle,5,5,23,rectangle,True
5,1,16,circle,-4,-3,56,circle,True
1,5,85,circle,-5,-4,72,rectangle,False
-1,-6,79,rectangle,-3,-4,11,rectangle,True
4,-4,54,circle,-3,-3,11,rectangle,False
-2,-1,56,circle,-4,3,68,rectangle,True
-4,-2,39,circle,-3,-2,96,rectangle,True
2,-3,38,circle,-1,-1,58,circle,True
-3,3,37,circle,5,3,28,rectangle,False
1,-6,13,rectangle,4,-2,93,circle,False
5,-1,67,circle,4,5,91,rectangle,False
2,4,73,rectangle,-3,-6,11,circle,False
-4,-4,30,circle,-2,-4,86,rectangle,True
2,3,62,circle,4,1,29,rectangle,True
-4,-3,64,circle,-2,-2,55,circle,True
-4,-2,53,rectangle,4,1,94,circle,False
1,3,21,rectangle,0,-4,44,circle,False
0,0,31,circle,2,0,65,rectangle,True
-1,-2,98,circle,1,-2,16,rectangle,True
3,-3,36,rectangle,4,5,97,rectangle,False
-4,1,86,rectangle,3,0,43,rectangle,True
-1,6,36,rectangle,-3,-4,92,rectangle,False
5,-4,95,circle,-2,0,82,circle,True
4,-2,96,circle,3,-2,100,rectangle,True
3,-3,77,circle,-4,-4,46,circle,True
3,-1,77,rectangle,1,-2,54,circle,True
1,-4,26,rectangle,-1,-3,70,circle,True
3,0,70,rectangle,4,4,11,circle,True
1,6,96,circle,-1,3,77,circle,True
-2,2,94,circle,0,-1,27,rectangle,True
-2,-4,28,rectangle,2,-1,54,circle,False
3,-2,28,circle,2,-6,62,circle,False
-4,-5,74,rectangle,-2,4,78,circle,False
-2,4,88,circle,0,-3,73,circle,True
2,-1,20,circle,-2,0,30,circle,True
-4,5,100,rectangle,4,5,53,circle,False
0,-1,14,rectangle,-2,-1,52,rectangle,True
4,5,71,circle,-5,-6,96,circle,True
-5,5,70,circle,1,-5,90,circle,False
0,-4,13,circle,-1,1,28,circle,True
-5,3,46,circle,1,3,32,circle,False
3,-6,71,circle,-4,4,17,rectangle,False
-1,-1,68,rectangle,-5,-6,47,rectangle,True
0,-1,76,rectangle,4,-5,56,rectangle,True
-3,6,35,rectangle,-1,3,12,rectangle,True
-5,5,27,circle,4,1,99,rectangle,False
4,1,63,rectangle,3,-4,29,rectangle,True
-3,5,66,circle,-5,3,78,rectangle,True
0,3,48,rectangle,0,3,86,circle,True
-3,1,14,rectangle,0,-6,88,circle,False
-1,6,23,circle,-5,2,25,circle,False
0,0,72,rectangle,5,-2,25,rectangle,True
-5,-1,26,rectangle,3,-4,71,rectangle,False
-3,-2,30,rectangle,-4,5,16,rectangle,False
-1,-3,99,circle,1,3,42,rectangle,False
4,-3,39,rectangle,-2,-4,56,rectangle,True
2,5,70,rectangle,-4,0,12,rectangle,False
-2,-1,74,rectangle,0,0,75,circle,True
-1,5,83,circle,5,-2,64,circle,True
-3,-5,87,rectangle,3,1,36,circle,False
-1,-4,30,circle,-3,-4,16,circle,True
5,4,65,circle,-5,-3,79,rectangle,False
3,3,45,rectangle,-5,4,24,circle,False
1,-2,90,rectangle,0,6,34,circle,False
0,2,32,rectangle,3,6,98,rectangle,True
-4,1,94,rectangle,1,-3,55,circle,True
-1,-2,92,rectangle,-3,1,16,circle,True
1,-2,76,rectangle,-5,-3,48,circle,False
2,4,12,circle,-5,2,58,circle,False
-5,4,55,circle,0,6,68,rectangle,True
3,-2,38,circle,0,6,84,rectangle,False
5,1,35,rectangle,-4,6,18,circle,False
5,3,87,circle,2,-3,25,rectangle,False
0,-5,85,circle,4,1,30,circle,True
2,-2,72,rectangle,-4,5,65,rectangle,True
5,2,86,circle,5,-2,47,circle,True
-2,4,31,circle,1,-1,60,circle,True
-4,-5,68,rectangle,1,3,53,circle,False
-3,-1,93,rectangle,5,1,95,rectangle,True
-1,6,60,circle,-4,2,67,rectangle,True
5,-5,26,rectangle,-5,-5,60,rectangle,False
3,4,49,circle,2,2,42,rectangle,True
-5,5,33,circle,3,-1,49,rectangle,False
-1,6,97,rectangle,-4,5,15,circle,True
4,-6,40,circle,-4,-4,54,rectangle,False
-5,5,73,circle,-3,3,13,rectangle,True
3,-6,48,circle,-1,-1,57,rectangle,False
2,3,38,circle,4,2,76,circle,True
-2,2,56,circle,-5,-1,79,circle,True
-1,3,11,rectangle,-4,-3,74,rectangle,False
1,4,62,circle,-2,4,87,circle,True
-3,0,19,circle,5,5,19,circle,True
-5,4,62,circle,4,-5,22,rectangle,False
5,-1,67,rectangle,0,-3,24,rectangle,True
-4,-4,65,circle,4,3,28,rectangle,False
-2,5,40,rectangle,5,1,71,circle,False
2,1,25,circle,-2,6,43,circle,False
-4,0,40,rectangle,-2,1,79,circle,True
4,6,25,rectangle,5,-1,29,circle,False
4,-6,30,circle,4,3,30,rectangle,False
4,-6,59,rectangle,0,5,52,circle,False
5,4,84,circle,1,2,22,rectangle,False
3,2,57,rectangle,3,-5,57,rectangle,True
0,-5,29,circle,0,-2,91,rectangle,True
-3,-4,60,circle,5,1,74,circle,True
3,3,44,rectangle,5,-4,89,circle,False
3,-2,30,circle,5,3,60,rectangle,False
