carat,cut,color,clarity,depth,table,price,x,y,z,v
71,1,3,3,592,61,2772,580,588,346,117999840
75,4,6,1,613,56,2773,585,589,360,124043400
117,2,0,0,602,61,2774,683,690,413,194634510
60,4,3,4,617,55,2774,541,544,335,98591840
70,4,3,2,627,55,2774,568,574,358,116719456
83,1,1,3,646,54,2774,585,588,379,130368420
74,2,4,3,613,61,2775,580,584,357,120923040
72,2,2,3,637,56,2776,562,569,361,115439858
71,3,3,3,627,58,2776,574,568,358,116719456
71,4,3,3,622,57,2776,579,562,355,115516290
54,4,3,5,616,56,2776,525,527,324,89642700
54,4,3,5,615,57,2776,524,526,323,89026552
72,4,2,2,618,56,2776,572,575,355,116759500
72,4,2,2,607,56,2776,579,582,353,118953234
72,1,2,3,597,60,2776,580,584,347,117535840
71,4,2,2,605,56,2776,580,576,350,116928000
70,2,6,4,627,58,2777,566,573,357,115781526
71,3,4,3,621,58,2777,567,570,353,114086070
71,2,4,3,628,57,2777,564,569,356,114246096
71,1,4,3,638,58,2777,561,564,359,113589036
70,4,3,3,621,55,2777,570,567,353,114086070
70,3,3,3,611,60,2777,571,564,347,111749268
70,3,3,2,600,59,2777,579,575,346,115192050
70,3,3,2,612,57,2777,573,568,349,113586936
70,3,3,2,627,59,2777,567,563,354,113004234
70,3,3,2,610,57,2777,573,568,348,113261472
70,3,3,2,610,58,2777,578,572,351,116046216
70,4,3,2,614,57,2777,576,570,352,115568640
72,3,4,2,618,61,2777,582,571,356,118306632
70,2,3,2,599,63,2777,576,570,343,112613760
70,3,3,2,613,58,2777,571,568,349,113190472
70,3,3,2,605,58,2777,577,574,348,115256904
70,1,3,3,641,59,2777,564,559,360,113499360
78,3,4,2,624,58,2777,583,580,363,122744820
70,2,3,2,632,60,2777,560,551,351,108304560
52,4,4,6,613,55,2778,519,522,319,86422842
73,2,5,3,608,56,2779,582,584,355,120660240
74,4,3,2,617,56,2779,584,580,359,121600480
70,2,4,3,636,57,2780,561,565,358,113473470
77,3,2,3,612,58,2780,590,593,362,126652940
71,4,4,3,621,54,2780,568,572,354,115013184
74,4,2,4,615,55,2780,581,586,359,122227294
70,4,2,4,614,59,2780,564,573,349,112787028
101,3,4,0,618,60,2781,639,636,394,160123176
77,4,5,2,622,56,2781,583,588,364,124780656
78,4,5,2,612,56,2781,592,599,364,129077312
72,2,5,4,606,63,2782,583,576,351,117868608
76,4,2,3,613,56,2782,590,594,363,127216980
70,3,3,4,629,60,2782,562,554,351,109283148
75,2,6,1,631,58,2782,578,573,363,120223422
72,4,6,2,608,57,2782,576,575,350,115920000
72,3,6,2,627,59,2782,573,569,358,116721246
70,3,6,2,628,60,2782,568,566,356,114449728
75,3,4,2,614,59,2782,588,585,360,123832800
52,4,4,7,622,55,2783,514,518,321,85466892
72,2,4,3,630,54,2784,569,573,360,117373320
79,2,5,4,637,56,2784,585,592,375,129870000
72,2,4,3,636,58,2787,566,569,361,116261494
51,4,4,6,620,57,2787,511,515,318,83686470
64,4,6,4,615,56,2787,554,555,341,104847270
70,2,5,6,605,60,2788,574,577,348,115256904
83,2,1,4,611,60,2788,607,610,372,137740440
76,4,1,5,618,56,2788,585,587,362,124308990
71,1,6,3,633,56,2788,564,568,358,114686016
71,4,4,2,625,55,2788,571,565,355,114528325
101,0,3,0,645,58,2788,629,621,403,157415427
101,3,5,1,627,59,2788,631,622,393,154245426
77,1,4,2,642,52,2789,581,577,372,124708164
76,1,3,2,637,54,2789,576,585,370,124675200
76,3,3,2,604,58,2789,592,594,358,125889984
76,3,3,2,618,58,2789,582,586,361,123119772
105,2,0,1,632,56,2789,649,645,409,171209445
81,4,2,1,616,56,2789,597,601,369,132396093
70,4,3,2,616,56,2789,572,575,353,116101700
55,4,2,7,609,57,2789,528,530,322,90108480
81,1,2,1,610,61,2789,594,599,364,129513384
63,3,3,5,621,57,2789,548,541,338,100206184
63,3,3,6,609,60,2789,555,552,337,103243320
77,3,5,4,613,60,2789,590,588,361,125238120
64,4,2,7,613,56,2790,554,558,341,105414012
83,4,4,1,623,55,2790,602,605,376,136942960
71,3,4,4,601,62,2790,577,574,346,114594508
71,3,4,4,618,59,2790,573,569,353,115091061
87,2,1,2,636,55,2791,607,610,387,143294490
73,4,3,2,622,56,2791,574,578,358,118774376
71,3,3,2,592,59,2792,583,586,346,118206748
71,3,3,2,618,59,2792,570,575,354,116023500
71,4,3,2,613,55,2792,572,577,352,116175488
70,3,4,4,621,60,2792,571,565,353,113883095
70,3,4,4,607,60,2792,578,575,350,116322500
76,3,5,5,596,57,2792,591,586,351,121560426
70,4,4,4,622,56,2792,573,568,355,115539720
79,2,2,2,606,57,2793,598,606,365,132271620
70,2,3,3,629,57,2793,566,569,357,114973278
70,1,3,3,641,55,2793,560,566,361,114422560
76,4,1,3,613,56,2793,587,591,361,125237037
73,4,5,3,627,55,2793,572,576,360,118609920
79,2,3,2,632,56,2794,591,586,372,128833272
71,2,3,3,607,56,2795,581,582,353,119364126
81,3,1,5,619,60,2795,591,586,364,126062664
81,4,4,1,626,55,2795,592,596,372,131253504
72,1,4,4,607,60,2795,574,572,348,114258144
72,3,6,1,620,60,2795,573,569,354,115417098
72,3,1,7,630,57,2795,572,570,360,117374400
72,3,2,3,629,57,2795,573,565,358,115900710
73,1,3,2,632,58,2796,570,576,362,118851840
81,2,5,1,613,59,2797,594,601,366,130659804
81,2,3,2,603,60,2797,607,610,367,135889090
71,3,6,2,627,60,2797,567,571,357,115581249
71,3,6,2,613,58,2797,573,575,352,115975200
71,3,6,2,616,60,2797,574,569,352,114965312
56,4,4,5,619,55,2797,534,535,331,94563390
51,4,6,6,617,56,2797,512,516,317,83748864
72,4,2,3,619,58,2797,572,575,355,116759500
74,4,5,4,618,58,2797,577,581,358,120014846
74,4,5,4,616,56,2797,581,582,358,121054836
80,3,4,1,610,57,2797,603,601,367,133001901
80,2,5,3,634,60,2797,592,582,372,128170368
77,4,1,4,615,59,2798,587,591,362,125583954
82,4,4,1,624,54,2799,597,602,374,134413356
78,4,6,2,619,57,2799,591,586,364,126062664
60,2,2,7,616,56,2800,543,546,335,99320130
90,1,1,1,622,59,2800,607,611,379,140562383
70,3,3,4,622,58,2800,560,566,350,110936000
90,2,1,1,613,56,2800,617,623,380,146068580
83,4,2,2,623,57,2800,599,608,376,136936192
83,4,2,2,618,57,2800,603,607,374,136891854
83,2,5,2,625,59,2800,595,602,374,133963060
74,3,2,4,629,60,2800,574,568,359,117045488
79,4,1,4,618,59,2800,592,595,367,129272080
61,4,2,7,623,56,2800,543,545,339,100321965
96,4,4,0,607,55,2801,637,641,388,158426996
73,4,4,3,625,55,2801,580,576,361,120602880
73,3,4,3,627,58,2801,576,570,359,117866880
75,4,5,2,604,57,2801,593,596,359,126880652
71,3,4,3,621,58,2801,570,567,353,114086070
71,1,4,3,638,58,2801,564,561,359,113589036
71,3,4,3,628,57,2801,569,564,356,114246096
104,3,2,0,622,58,2801,646,641,400,165634400
100,3,0,1,623,58,2801,645,634,398,162754140
87,2,2,1,599,58,2802,619,623,372,143456964
53,4,4,7,619,54,2802,522,525,324,88792200
72,3,3,3,630,55,2802,579,561,359,116610021
72,3,4,4,624,58,2802,583,570,360,119631600
70,2,4,3,629,58,2803,563,565,355,112923725
74,2,3,2,635,56,2803,574,579,366,121638636
71,4,2,3,613,56,2803,575,571,351,115242075
73,4,3,2,606,54,2803,584,589,355,122111480
71,3,4,3,626,58,2803,570,567,356,115055640
71,3,2,4,624,61,2803,570,565,354,114005700
77,3,2,3,613,57,2803,593,588,362,126223608
71,3,2,3,599,60,2803,581,577,347,116327239
78,3,2,3,608,58,2803,603,595,364,130597740
71,2,2,4,635,55,2803,566,564,359,114601416
91,4,6,1,622,57,2803,621,615,385,147037275
71,2,3,3,638,58,2804,562,566,360,114513120
71,2,3,3,640,57,2804,566,568,363,116700144
80,2,3,1,625,56,2804,588,596,370,129665760
70,2,6,2,623,58,2804,569,573,356,116069172
72,4,4,4,617,57,2804,574,577,355,117575290
72,2,4,4,622,58,2804,575,570,356,116679000
82,4,5,3,615,56,2804,601,608,372,135931776
70,4,6,2,610,59,2804,568,570,347,112344720
72,4,6,2,622,56,2804,574,577,358,118568884
72,4,6,2,615,54,2804,577,580,356,119138960
74,3,4,3,617,58,2805,585,578,359,121388670
74,3,4,3,619,56,2805,580,577,358,119808280
73,4,3,1,618,58,2805,577,581,358,120014846
73,3,4,3,625,57,2805,575,570,358,117334500
72,4,2,3,628,56,2805,574,570,359,117457620
82,1,2,3,640,57,2805,592,589,378,131804064
81,2,2,2,625,60,2806,589,594,369,129100554
75,2,5,6,606,58,2806,585,590,356,122873400
70,4,4,2,616,55,2806,572,574,353,115899784
71,2,4,4,622,58,2807,566,572,354,114608208
71,2,4,4,600,57,2807,584,590,352,121285120
93,3,0,1,619,57,2807,621,619,384,147609216
80,2,5,3,628,57,2808,587,591,370,128359290
70,2,4,4,620,57,2808,564,571,352,113359488
75,2,2,3,634,56,2808,578,574,365,121096780
57,4,3,5,609,56,2808,541,543,330,96941790
73,2,6,2,631,57,2808,574,570,361,118111980
81,2,4,2,631,59,2809,585,579,367,124308405
81,3,6,1,592,57,2809,615,605,361,134319075
71,3,4,2,607,54,2809,584,580,353,119568160
120,0,4,0,646,56,2809,673,666,433,194078394
70,2,4,4,618,56,2810,563,570,350,112318500
70,2,4,4,599,60,2810,577,584,348,117264864
74,4,6,1,617,55,2810,581,585,360,122358600
70,1,4,4,628,61,2810,557,561,351,109679427
80,1,2,2,627,57,2810,584,593,369,127789128
75,2,4,2,634,58,2811,572,576,364,119927808
83,2,6,2,635,54,2811,598,595,379,134851990
70,2,2,4,630,60,2812,557,564,353,110894244
70,2,4,3,595,58,2812,575,585,345,116049375
70,1,3,2,635,59,2812,549,553,350,106258950
70,2,4,3,617,58,2812,563,569,349,111801103
32,3,1,2,627,58,554,437,434,273,51776634
32,3,1,2,628,58,554,438,434,274,52085208
32,4,1,2,624,57,554,437,434,272,51586976
32,3,1,2,610,59,554,438,436,267,50988456
32,2,1,2,631,56,554,438,436,276,52707168
32,4,1,2,607,57,554,447,442,270,53344980
30,3,5,2,609,59,554,430,429,262,48331140
30,3,5,2,601,55,554,441,438,264,50993712
30,3,5,2,629,58,554,428,424,268,48634496
30,2,5,2,633,56,554,429,426,271,49526334
30,1,5,2,638,55,554,426,420,270,48308400
30,4,5,2,629,57,554,426,422,267,47999124
30,2,5,2,634,60,554,425,423,269,48359475
32,1,1,2,639,55,554,436,434,278,52604272
33,4,5,1,614,56,554,484,479,295,68391620
28,2,3,4,619,55,555,428,433,266,49296184
28,2,3,4,624,55,555,420,425,263,46945500
31,2,4,2,618,58,555,432,434,268,50246784
34,4,5,3,615,56,555,447,450,276,55517400
34,4,5,3,604,57,555,454,457,275,57056450
34,4,1,4,618,55,555,448,451,278,56169344
34,4,1,4,620,56,555,450,453,280,57078000
30,4,2,4,623,56,555,429,430,268,49437960
28,4,4,4,616,56,555,426,430,264,48359520
35,4,2,2,606,56,555,455,458,277,57724030
32,2,4,3,614,58,556,437,442,270,52151580
36,4,1,3,619,56,556,454,457,282,58508796
30,4,2,3,620,56,556,428,430,266,48954640
26,4,3,4,615,57,556,409,412,252,42464016
70,2,4,3,623,58,2812,564,572,354,114203232
70,2,4,3,609,61,2812,566,571,346,111822356
71,4,6,2,624,57,2812,569,572,356,115866608
51,4,4,6,620,57,2812,515,511,318,83686470
91,3,2,1,598,58,2813,630,629,377,149393790
84,2,3,2,634,55,2813,600,595,379,135303000
91,1,1,3,643,58,2813,609,605,390,143693550
76,3,3,2,622,59,2814,586,581,363,123589158
76,4,3,2,617,57,2814,588,585,362,124520760
75,3,3,2,611,59,2814,586,583,357,121964766
55,2,6,6,615,56,2815,523,527,323,89025583
74,3,2,4,617,58,2815,579,581,358,120430842
70,4,5,2,604,56,2815,575,581,349,116592175
70,4,5,2,614,56,2815,570,576,352,115568640
70,4,5,2,615,55,2815,573,579,354,117445518
70,4,5,2,614,56,2815,572,577,353,116505532
89,3,5,1,602,59,2815,626,623,376,146639248
102,3,2,0,603,58,2815,655,650,394,167745500
78,2,1,5,614,56,2816,591,595,364,127998780
61,4,2,5,601,57,2816,552,554,332,101528256
71,1,6,4,634,55,2816,561,569,358,114276822
78,3,4,2,615,59,2816,596,588,364,127563072
87,4,5,1,627,56,2816,616,613,385,145379080
83,4,5,2,625,55,2816,604,600,376,136262400
71,3,3,2,613,56,2817,578,573,353,116911482
71,4,1,5,602,56,2817,584,589,353,121423528
71,4,3,3,627,57,2817,566,564,354,113005296
71,3,3,3,623,58,2817,569,565,353,113484205
63,4,4,5,615,56,2817,548,552,338,102243648
71,3,3,2,592,59,2817,586,583,346,118206748
71,3,3,2,618,59,2817,575,570,354,116023500
71,4,3,2,613,55,2817,577,572,352,116175488
71,3,3,2,614,58,2817,577,573,353,116709213
90,4,0,3,628,55,2817,620,616,388,148184960
70,3,3,3,624,61,2818,566,563,352,112167616
70,3,3,3,593,60,2818,578,573,341,112937154
70,3,3,3,630,60,2818,564,560,354,111807360
100,3,5,0,613,60,2818,643,639,393,161474661
86,3,4,1,593,62,2818,636,622,373,147555816
80,4,5,2,610,57,2818,607,600,368,134025600
70,4,3,4,629,57,2818,566,561,354,112404204
70,3,3,4,596,57,2818,591,583,350,120593550
70,3,4,3,618,60,2818,569,564,350,112320600
70,3,3,4,627,57,2818,568,564,355,113724960
72,2,2,4,638,58,2819,564,568,361,115647072
72,4,5,4,623,56,2819,573,577,358,118362318
70,1,4,4,597,63,2819,576,579,345,115058880
86,1,4,1,643,60,2819,597,595,383,136047345
71,4,2,4,629,58,2820,566,569,357,114973278
75,4,3,2,620,57,2821,580,578,359,120351160
73,3,3,3,616,59,2821,577,573,354,117039834
53,4,3,6,619,55,2821,520,521,322,87236240
73,3,3,2,613,58,2821,583,576,355,119211840
73,1,3,2,636,57,2821,572,570,363,118352520
73,3,3,2,596,61,2821,592,585,351,121558320
73,3,3,2,622,59,2821,577,568,356,116674016
73,3,6,2,617,55,2821,584,582,360,122359680
73,2,3,2,632,58,2821,576,570,362,118851840
70,3,3,4,608,60,2822,574,571,348,114058392
72,3,3,3,603,59,2822,584,580,351,118890720
72,3,3,3,609,60,2822,580,576,352,117596160
72,3,3,3,624,59,2822,577,570,358,117742620
70,3,3,3,602,60,2822,573,570,344,112353840
60,4,4,5,620,55,2822,537,540,334,96853320
74,4,1,6,608,57,2822,585,589,357,123009705
73,4,4,2,621,55,2822,575,578,358,118981300
71,3,6,2,627,60,2822,571,567,357,115581249
71,3,6,2,613,58,2822,575,573,352,115975200
70,3,6,2,602,60,2822,582,575,348,116458200
70,4,6,2,607,56,2822,575,572,348,114457200
90,1,0,3,640,61,2822,604,603,386,140585832
71,4,6,2,602,56,2822,586,583,352,120256576
70,3,3,3,615,59,2822,573,568,351,114237864
70,3,3,3,626,56,2822,571,566,356,115054216
70,4,6,2,597,58,2822,582,577,346,116191644
70,4,6,2,625,57,2822,562,559,351,110269458
70,4,6,2,618,56,2822,573,563,351,113232249
70,3,3,3,607,62,2822,572,568,346,112414016
70,3,4,3,606,58,2822,580,572,349,115784240
70,4,6,2,614,54,2822,575,571,352,115570400
79,2,6,1,628,59,2823,586,590,369,127578060
90,1,1,2,638,57,2823,606,613,389,144504942
71,3,3,3,623,58,2823,571,566,354,114407844
61,4,3,5,613,54,2823,551,559,340,104723060
71,4,3,2,605,56,2823,577,573,347,114725487
71,3,6,3,612,59,2824,574,569,350,114312100
77,4,1,5,621,57,2824,584,586,363,124227312
74,1,3,4,631,58,2824,573,575,362,119269950
82,4,4,1,624,54,2824,602,597,374,134413356
82,3,3,1,608,60,2824,605,603,367,133887105
71,3,2,4,622,59,2825,573,566,354,114808572
83,3,5,2,600,59,2825,608,605,364,133893760
73,2,2,4,620,57,2825,575,580,358,119393000
83,3,5,2,625,59,2825,602,595,374,133963060
117,3,0,0,602,61,2825,690,683,413,194634510
73,3,3,4,626,60,2826,575,568,358,116922800
90,3,1,1,622,59,2826,611,607,379,140562383
70,3,3,4,622,58,2826,566,560,350,110936000
70,2,6,3,633,56,2826,560,558,354,110617920
70,3,3,4,594,61,2826,578,574,342,113466024
90,2,1,1,635,56,2826,617,607,388,145313372
78,3,4,2,608,60,2826,597,594,362,128371716
96,4,4,0,607,55,2826,641,637,388,158426996
70,2,6,2,623,59,2827,567,570,354,114409260
72,1,6,3,640,54,2827,568,570,364,117848640
79,3,5,5,626,58,2827,596,590,371,130458440
70,4,5,6,616,57,2827,569,574,352,114965312
70,4,5,6,623,55,2827,566,570,354,114207480
70,4,6,1,606,57,2828,574,577,349,115588102
101,3,5,1,616,61,2828,639,631,391,157654719
72,3,4,4,622,58,2829,575,570,356,116679000
80,1,3,1,637,54,2829,591,587,375,130093875
59,4,3,6,620,56,2829,536,538,333,96026544
72,4,4,4,617,57,2829,577,574,355,117575290
75,3,3,1,619,57,2829,588,582,362,123882192
80,3,3,1,602,57,2829,605,601,363,131988615
71,2,3,3,627,59,2830,565,570,356,114649800
77,2,5,2,617,56,2830,584,589,362,124519312
97,4,4,0,607,56,2830,641,643,390,160743570
53,4,4,6,609,57,2830,523,529,319,88256773
53,4,4,6,618,57,2830,516,519,320,85697280
80,4,1,3,621,54,2830,594,599,370,131648220
90,3,2,2,606,62,2830,621,613,374,142371702
76,2,3,1,608,60,2831,589,598,361,127152142
72,4,3,2,623,57,2831,570,576,357,117210240
75,4,3,2,614,57,2831,582,587,359,122646606
72,3,3,2,621,58,2831,573,576,357,117827136
79,4,2,2,618,56,2831,593,591,366,128269458
72,2,4,3,625,58,2832,571,575,358,117540350
91,2,1,1,628,61,2832,615,618,387,147087090
71,3,2,5,621,57,2832,575,565,354,115005750
81,3,2,2,630,60,2832,587,581,368,125505296
82,4,5,2,625,57,2832,591,597,371,130898817
71,3,4,4,622,58,2832,572,566,354,114608208
90,1,0,2,643,63,2832,605,601,388,141078740
80,2,1,3,620,58,2833,586,595,366,127613220
56,2,3,7,610,59,2833,528,534,324,91352448
70,2,6,3,596,61,2833,577,580,345,115457700
70,4,6,3,610,57,2833,574,576,351,116049024
61,4,4,5,617,55,2833,545,548,337,100648420
85,4,5,1,625,57,2833,602,607,378,138126492
70,4,4,2,607,57,2833,573,575,349,114986775
80,4,2,3,622,56,2834,594,587,367,127964826
80,4,5,3,628,57,2834,591,587,370,128359290
51,2,6,6,599,58,2834,516,519,310,83019240
53,4,4,6,614,57,2834,520,523,320,87027200
78,4,1,3,618,55,2834,592,595,367,129272080
90,2,0,2,634,54,2834,617,614,390,147746820
77,4,3,1,607,55,2834,601,595,363,129806985
73,4,4,4,612,56,2835,589,581,358,122510822
63,4,4,5,619,57,2835,547,551,340,102474980
70,4,3,3,615,54,2835,570,575,352,115368000
72,4,3,3,628,57,2835,571,573,359,117458697
72,4,3,2,610,57,2835,578,580,353,118339720
75,3,4,3,596,59,2835,604,594,357,128083032
82,2,5,2,607,56,2836,604,606,367,134330808
71,1,3,3,628,60,2836,560,565,353,111689200
70,3,3,4,626,59,2837,569,566,355,114329170
70,4,3,4,618,56,2837,574,569,353,115291918
71,4,4,2,598,53,2838,586,582,349,119027148
76,2,5,2,609,55,2838,592,594,361,126944928
70,3,4,3,623,58,2838,572,564,354,114203232
70,3,4,3,617,58,2838,569,563,349,111801103
70,3,2,4,626,55,2838,573,564,356,115049232
70,3,4,3,594,61,2838,583,579,345,116457165
70,2,3,2,635,59,2838,553,549,350,106258950
70,3,4,3,609,61,2838,571,566,346,111822356
70,3,4,3,595,58,2838,585,575,345,116049375
70,3,2,4,630,60,2838,564,557,353,110894244
74,2,3,2,600,57,2839,585,589,352,121286880
71,4,4,4,615,57,2839,574,571,352,115369408
70,4,4,4,616,54,2839,575,572,353,116101700
71,4,4,4,621,55,2839,582,568,357,118015632
71,3,4,4,591,61,2839,584,581,344,116720576
71,3,4,4,590,60,2839,582,580,343,115783080
71,3,4,4,605,58,2839,575,572,347,114128300
70,4,4,4,624,53,2839,573,571,357,116804331
73,4,2,3,618,54,2839,580,582,359,121184040
70,4,3,3,621,54,2839,569,572,354,115215672
70,4,2,4,613,57,2839,571,574,351,115041654
71,3,2,5,603,58,2839,582,578,350,117738600
